ArticuloID,Descripcion,Articulo_Tipo,Articulo_Grupo,Articulo_Clase,Precio,ArticuloRecomendadoID,Frecuencia
10001,DEFENSA ANTID AERO CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,CCPU92,2
10002,DEFENSA ANTID AERO PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,10018,3
10003,DEFENSA ANTID AERO C/HULE SUP CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4000,10011,2
10007,DEFENSA ANTID AERO LUXE CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4500,PNPU86,3
10009,DEFENSA ANTID COWBOY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,10010,1
10010,DEFENSA ANTID MINI COWBOY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3000,214-1508R2,2
10011,DEFENSA ANTID FLEY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,10019,3
10012,DEFENSA ANTID FLEY PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,10016,2
10013,DEFENSA ANTID FLEY C/HULE AL FRENTE CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4000,10014,2
10014,DEFENSA ANTID FLEY C/HULE SUP CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4000,10018,2
10016,DEFENSA ANTID FLEY XLT CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4500,10018,2
10018,DEFENSA ANTID MINI FLEY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3000,10024,3
10019,DEFENSA ANTID MINI FLEY PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3000,10022,2
100-1931C,CALAVERA CUAD UNIVERSAL DIAMANTADA BLANCA,CALAVERAS,ZUNIVERSAL,TAIWAN,120,100-1931R,3
100-1931R,CALAVERA CUAD UNIVERSAL DIAMANTADA ROJO,CALAVERAS,ZUNIVERSAL,TAIWAN,120,100-1931Y,3
100-1931Y,CALAVERA CUAD UNIVERSAL DIAMANTADA AMBAR,CALAVERAS,ZUNIVERSAL,TAIWAN,120,331-1129L,3
10022,ZBAJA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3800,10024,2
10023,DEFENSA ANTID MINI FLEY C/HULE SUP PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3800,10024,2
10024,DEFENSA ANTID MINI FLEY C/REV C/HULE SUP CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3800,10026,2
10026,DEFENSA ANTID MINI FLEY XLT CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4200,213-1509R,2
10312887,MOTOVENT VENTURE / AZTEC 01-03 COMPLETO,MOTOVENTILADORES,CHEVROLET,MEXICO,4600,12367291,1
115-1101L,FARO SENTRA 2000 LISO C/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,550,115-1101R,11
115-1101R,FARO SENTRA 2000 LISO C/AJUSTES DER,FAROS,NISSAN,TAIWAN,550,215-1121L,5
115-1501L,CUARTO PUNTA SENTRA 2000 CRISTAL IZQ,CUARTOS,NISSAN,TAIWAN,160,115-1501R,9
115-1501R,CUARTO PUNTA SENTRA 2000 CRISTAL DER,CUARTOS,NISSAN,TAIWAN,160,212-1612L,5
12362571,MOTOVENT MALIBU 97-03 P/ A/A COMPLETO,MOTOVENTILADORES,CHEVROLET,TAIWAN,3800,5014579AA,2
12367291,MOTOVENT VENTURE 99-00 COMPLETO,MOTOVENTILADORES,CHEVROLET,TAIWAN,3800,4401958,1
12472769,BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,250,12472770,2
