ArticuloID,Descripcion,Articulo_Tipo,Articulo_Grupo,Articulo_Clase,Precio,ArticuloRecomendadoID,Frecuencia
10001,DEFENSA ANTID AERO CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,315-1902L,3
10002,DEFENSA ANTID AERO PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,10007,2
10003,DEFENSA ANTID AERO C/HULE SUP CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4000,333-1929R,3
10007,DEFENSA ANTID AERO LUXE CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4500,DDDSP90,4
10009,DEFENSA ANTID COWBOY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,315-1101L,2
10010,DEFENSA ANTID MINI COWBOY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3000,ADTPU89CL2,3
10011,DEFENSA ANTID FLEY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,10018,6
10012,DEFENSA ANTID FLEY PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3400,DDFPU99C,4
10013,DEFENSA ANTID FLEY C/HULE AL FRENTE CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4000,DDNPU84C,4
10014,DEFENSA ANTID FLEY C/HULE SUP CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4000,332-1182R,4
10016,DEFENSA ANTID FLEY XLT CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4500,215-1154R,3
10018,DEFENSA ANTID MINI FLEY CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3000,315-1101L,4
10019,DEFENSA ANTID MINI FLEY PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3000,331-1923L,4
100-1931C,CALAVERA CUAD UNIVERSAL DIAMANTADA BLANCA,CALAVERAS,ZUNIVERSAL,TAIWAN,120,100-1931Y,15
100-1931R,CALAVERA CUAD UNIVERSAL DIAMANTADA ROJO,CALAVERAS,ZUNIVERSAL,TAIWAN,120,100-1931Y,17
100-1931Y,CALAVERA CUAD UNIVERSAL DIAMANTADA AMBAR,CALAVERAS,ZUNIVERSAL,TAIWAN,120,315-1902R,7
10022,ZBAJA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3800,DDDPU94C,4
10023,DEFENSA ANTID MINI FLEY C/HULE SUP PINTADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3800,CNSE96,3
10024,DEFENSA ANTID MINI FLEY C/REV C/HULE SUP CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,3800,DDVPO00,3
10026,DEFENSA ANTID MINI FLEY XLT CROMADA,DEFENSAS TRASERAS,ZUNIVERSAL,TAIWAN,4200,215-1142R,3
10312887,MOTOVENT VENTURE / AZTEC 01-03 COMPLETO,MOTOVENTILADORES,CHEVROLET,MEXICO,4600,Not in source,0
115-1101L,FARO SENTRA 2000 LISO C/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,550,115-1101R,186
115-1101R,FARO SENTRA 2000 LISO C/AJUSTES DER,FAROS,NISSAN,TAIWAN,550,315-1108R,52
115-1501L,CUARTO PUNTA SENTRA 2000 CRISTAL IZQ,CUARTOS,NISSAN,TAIWAN,160,115-1501R,184
115-1501R,CUARTO PUNTA SENTRA 2000 CRISTAL DER,CUARTOS,NISSAN,TAIWAN,160,315-1514R,72
12362571,MOTOVENT MALIBU 97-03 P/ A/A COMPLETO,MOTOVENTILADORES,CHEVROLET,TAIWAN,3800,DDCSU97,1
12367291,MOTOVENT VENTURE 99-00 COMPLETO,MOTOVENTILADORES,CHEVROLET,TAIWAN,3800,Not in source,0
12472769,BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,250,12472770,26
12472770,BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,250,15035591,17
12474012,BRAZO DEF DEL CHEV PU 99-02 INTERIOR DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,300,12474013,22
12474013,BRAZO DEF DEL CHEV PU 99-02 INTERIOR IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,300,BDDCPU99,11
14000081,MOLD INF PARR CHEV PU 79-80 ANCHA,MOLDURAS,CHEVROLET,TAIWAN,300,361117,13
14021253,BISAGRA COFRE CHEV PU 81-91 C/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,14021254,43
14021254,BISAGRA COFRE CHEV PU 81-91 C/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,14043823,23
14022805,MOLD ARCO SALP CHEV PU 81-91 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,14022806,178
14022806,MOLD ARCO SALP CHEV PU 81-91 DER,MOLDURAS,CHEVROLET,TAIWAN,150,6273599,143
14027431,ELEV CRISTAL CHEV PU / SUBURBAN 73-91 IZQ,ELEVADORES DE CRISTAL,CHEVROLET,TAIWAN,280,14027432,165
14027432,ELEV CRISTAL CHEV PU / SUBURBAN 73-91 DER,ELEVADORES DE CRISTAL,CHEVROLET,TAIWAN,280,E7TZ152300,78
14030523,BISAGRA COFRE S-10 82-94 IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,14030524,40
14030524,BISAGRA COFRE S-10 82-94 DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,15035592,9
14033613,MOLD ARCO TRAS S-10 82-94 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,14033614,120
14033614,MOLD ARCO TRAS S-10 82-94 DER,MOLDURAS,CHEVROLET,TAIWAN,150,14033616,105
14033615,MOLD ARCO SALP S-10 82-94 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,14033616,141
14033616,MOLD ARCO SALP S-10 82-94 DER,MOLDURAS,CHEVROLET,TAIWAN,150,15546443,46
14043823,BISAGRA COFRE CHEV PU 81-91 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,14043824,38
14043824,BISAGRA COFRE CHEV PU 81-91 S/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,15690183,10
14064637,BRAZO DEF DEL CHEV PU 81-91 CORTO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,14064638,19
14064638,BRAZO DEF DEL CHEV PU 81-91 CORTO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,15606578,11
15035591,BISAGRA COFRE CHEV PU 99-02 C/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,300,15035592,36
15035592,BISAGRA COFRE CHEV PU 99-02 C/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,300,15690184,9
15088328,TOLVA RAD SUBURBAN 00-03 SUPERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600,Not in source,0
15088329,TOLVA RAD CHEV PU 99-03 4.3L SUPERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600,Not in source,0
15164394,TOLVA RAD SUBURBAN 00-03 INFERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600,Not in source,0
15546443,MOLD ARCO SALP CHEV PU 92-98 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,15546444,287
15546444,MOLD ARCO SALP CHEV PU 92-98 DER,MOLDURAS,CHEVROLET,TAIWAN,150,15546459,215
15546459,MOLD ARCO TRAS CHEV PU 92-98 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,15546460,232
15546460,MOLD ARCO TRAS CHEV PU 92-98 DER,MOLDURAS,CHEVROLET,TAIWAN,150,6273599,40
15560553,TOLVA RAD S-10 82-94 4 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400,15560554,152
15560554,TOLVA RAD S-10 82-94 4 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400,15958485,60
15590207,BRAZO DEF DEL S-10 82-94 CORTO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,15590208,42
15590208,BRAZO DEF DEL S-10 82-94 CORTO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,15976629,27
15593227,MOLD LAT PARR CHEV PU 83-88 C IZQ,MOLDURAS,CHEVROLET,TAIWAN,200,15593228,144
15593228,MOLD LAT PARR CHEV PU 83-88 C DER,MOLDURAS,CHEVROLET,TAIWAN,200,15594898,53
15594897,MOLD INF PARR CHEV PU 83-88,MOLDURAS,CHEVROLET,TAIWAN,150,15594898,80
15594898,MOLD SUP PARR CHEV PU 83-88,MOLDURAS,CHEVROLET,TAIWAN,150,6273599,15
15602558,TOLVA RAD S-10 82-94 6 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350,15958485,200
15603561,TOLVA RAD CHEV PU 92-98 6 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400,15607172,10
15606577,BRAZO DEF DEL CHEV PU 81-91 LARGO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,200,15606578,24
15606578,BRAZO DEF DEL CHEV PU 81-91 LARGO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,200,15611495,9
15607172,TOLVA RAD CHEV PU 92-98 6 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400,15739587,7
15611495,BRAZO DEF DEL CHEV PU 92-98 CENTRAL IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,180,15611496,372
15611496,BRAZO DEF DEL CHEV PU 92-98 CENTRAL DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,180,15686150,159
15616290,MOLD ARCO TRAS SUBURBAN 89-91 DER,MOLDURAS,CHEVROLET,TAIWAN,150,15616291,15
15616291,MOLD ARCO TRAS SUBURBAN 89-91 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,15616313,11
15616312,MOLD ARCO SALP SUBURBAN 89-91 DER,MOLDURAS,CHEVROLET,TAIWAN,150,15616313,11
15616313,MOLD ARCO SALP SUBURBAN 89-91 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150,6273600,7
15616749,BISAGRA COFRE CHEV PU 92-98 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,15616750,28
15616750,BISAGRA COFRE CHEV PU 92-98 S/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,15690183,22
15686149,BRAZO DEF DEL CHEV PU 92-98 EXTERIOR IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,15686150,187
15686150,BRAZO DEF DEL CHEV PU 92-98 EXTERIOR DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,HDCPU92,44
15690183,BISAGRA COFRE CHEV PU 92-98 C/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,15690184,42
15690184,BISAGRA COFRE CHEV PU 92-98 C/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200,6262007,12
15696691,TOLVA RAD CHEV PU 92-98 8 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350,15739587,475
15707564,TOLVA RAD CHEV PU 99-03 4.3L INFERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600,Not in source,0
15739587,TOLVA RAD CHEV PU 92-98 8 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350,TSDCPU94,112
15789587,TOLVA RAD SUBURBAN / SILVERADO 94-99 SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600,Not in source,0
15954691,TOLVA RAD SUBURBAN / SILVERADO 94-99 INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600,Not in source,0
15958485,TOLVA RAD S-10 82-94 6 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350,E5TZ8146,38
15976629,BRAZO DEF DEL S-10 82-94 LARGO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,15976630,33
15976630,BRAZO DEF DEL S-10 82-94 LARGO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150,6221010W01,10
1671135010,TOLVA RAD TOYOTA PU 84-88 (TRACC NORMAL),TOLVAS DE RADIADOR,TOYOTA,TAIWAN,300,1671171030,37
1671171030,TOLVA RAD TOYOTA PU 89-95 (TRACC NORMAL),TOLVAS DE RADIADOR,TOYOTA,TAIWAN,300,TIDTPU89D,21
176807113B,BRAZO DEF DEL GOLF / JETTA 87-91 DER,BRAZOS DE DEFENSA,VOLSKWAGEN,TAIWAN,200,176807113C,26
176807113C,BRAZO DEF DEL GOLF / JETTA 87-91 IZQ,BRAZOS DE DEFENSA,VOLSKWAGEN,TAIWAN,200,DDVGO92,9
1R3Z-8C607CA,MOTOVENT MUSTANG 99-02 3.8L P/RAD  P/ A/A COMPLETO,MOTOVENTILADORES,FORD,TAIWAN,2600,Not in source,0
1S4Z-8C607AA,MOTOVENT FOCUS 00-03 P/RAD P/ A/A COMPLETO,MOTOVENTILADORES,FORD,TAIWAN,3500,F5CZ-8C607BA,2
212-1539L1,CUARTO PUNTA TOYOTA PU 89-95 CROM TRAC NOR IZQ,CUARTOS,TOYOTA,TAIWAN,80,212-1539R1,126
212-1539L2,CUARTO PUNTA TOYOTA PU 89-95 NEGRO TRAC NOR IZQ,CUARTOS,TOYOTA,TAIWAN,80,212-1539R2,58
212-1539R1,CUARTO PUNTA TOYOTA PU 89-95 CROM TRAC NOR DER,CUARTOS,TOYOTA,TAIWAN,80,312-1501L1,60
212-1539R2,CUARTO PUNTA TOYOTA PU 89-95 NEGRO TRAC NOR DER,CUARTOS,TOYOTA,TAIWAN,80,312-1501R2,31
